Ticker,Name
MOTOGENFIN,MOTOR &amp; GENERAL FINANCE LTD.
RAPIDIN,RAPID INVESTMENTS LTD.
WALCHPF,WALCHAND PEOPLEFIRST LTD.
ZSWASTSA,SWASTIK SAFE DEPOSIT &amp; INVESTMENTS LTD.
WHBRADY,W.H.BRADY &amp; CO.LTD.
TECHNVISN,TECHNVISION VENTURES LTD.
SHAILY,SHAILY ENGINEERING PLASTICS LTD.
BBTC,BOMBAY BURMAH TRADING CORP.LTD.
BOMBCYC,BOMBAY CYCLE &amp; MOTOR AGENCY LTD.
GREAVESCOT,GREAVES COTTON LTD.
MACK,MACK TRADING CO.LTD.
MULLER,MULLER &amp; PHIPPS (INDIA) LTD.
ZNEWSAGA,NEW SAGAR TRADING CO.LTD.
ANANDPROJ,Anand Projects Ltd
INDIANVSH,INDIANIVESH LTD.
CENTPROV,CENTRAL PROVINCES RAILWAYS CO.LTD.
COASTCORP,COASTAL CORPORATION LTD.
CHOWGULSTM,CHOWGULE STEAMSHIPS LTD.
GLOBOFFS,GLOBAL OFFSHORE SERVICES LTD.-$
DHENUBUILD,DHENU BUILDCON INFRA LTD.
ASSOSTNB,ASSOCIATED STONE INDUSTRIES (KOTAH) LTD.
SAGCEM,SAGAR CEMENTS LTD.-$
DECCANCE,DECCAN CEMENTS LTD.-$
KLYNCEM,KALYANPUR CEMENTS LTD.
MANGLMCEM,MANGALAM CEMENT LTD.
OCL,OCL INDIA LTD.
NCLIND,NCL INDUSTRIES LTD.-$
SAURASHCEM,SAURASHTRA CEMENT LTD.
SHREDIGCEM,SHREE DIGVIJAY CEMENT CO.LTD.-$
BOMBPOT,BOMBAY POTTERIES &amp; TILES LTD.
BOROSIL,BOROSIL GLASS WORKS LTD.
MARATHR,MARATHWADA REFRACTORIES LTD.
RASSIREF,RAASI REFRACTORIES LTD.-$
TRIVENIGQ,TRIVENI GLASS LTD.-$
IPAPPM,International Paper APPM Limited
BALKRISIND,BALKRISHNA INDUSTRIES LTD.-$
MYSPAPE,MYSORE PAPER MILLS LTD.
NATHPULP,NATH PULP &amp; PAPER MILLS LTD.
ORIENTPPR,ORIENT PAPER &amp; INDUSTRIES LTD.
CITADEL,CITADEL REALTY AND DEVELOPERS LTD.
ROLLT,ROLLATAINERS LTD.
SESHAPAPER,SESHASAYEE PAPER &amp; BOARDS LTD.
SOLIDCO,SOLID CONTAINERS LTD.
SPECIAPP,SPECIALITY PAPERS LTD.
RELSIND,RELSON INDIA LTD.
SHBHAWPA,SHREE BHAWANI PAPER MILLS LTD.
RAMAPULP,RAMA PULP &amp; PAPERS LTD.
VAPIPPR,VAPI PAPER MILLS LTD.
SINTEX,SINTEX INDUSTRIES LTD.
BLUBLND-B,Blue Blends (India) Ltd
DCM,DCM LTD.
ZGAEKWAR,GAEKWAR MILLS LTD.
FORBESCO,FORBES &amp; COMPANY LTD.-$
HPCOTTON,H.P.COTTON TEXTILE MILLS LTD.
UNITEDINT,UNITED INTERACTIVE LTD.
JAMSHRI,JAMSHRI RANJITSINGHJI SPG. &amp; WVG. MILLS CO.LTD.-$
KATRSPG,KATARE SPINNING MILLS LTD.
KESORAMIND,KESORAM INDUSTRIES LTD.
LAKSHMIMIL,LAKSHMI MILLS COMPANY LTD.-$
VTL,VARDHMAN TEXTILES LTD.
MALWACOTT,MALWA COTTON SPINNING MILLS LTD.
MODERN,MODERN INDIA LTD.-$
PENINLAND,PENINSULA LAND LTD.
PASUSPG,PASUPATI SPG.&amp; WVG.MILLS LTD.
PHOENIXLTD,The Phoenix Mills Ltd
MARATHON,MARATHON NEXTGEN REALTY LTD.
RAJABAH,RAJA BAHADUR INTERNATIONAL LTD.
RELCHEMQ,RELIANCE CHEMOTEX INDUSTRIES LTD.-$
RUBYMILLS,RUBY MILLS LTD.
SHREERAM,SHREE RAM URBAN INFRASTRUCTURE LTD.
SIMPLXREA,SIMPLEX REALTY LTD.
SWANENERGY,SWAN ENERGY LTD.
VICTMILL,VICTORIA MILLS LTD.
ZSVTRADI,S.V.TRADING &amp; AGENCIES LTD.
ZSVARAJT,SVARAJ TRADING &amp; AGENCIES LTD.
KSHITIJ,KSHITIZ INVESTMENT LTD.
SALSAIN,SHREE SALASAR INVESTMENT LTD.
DHANLEELA,DHANLEELA INVESTMENTS &amp; TRADING COMPANY LTD.
INDSOYA,INDSOYA LTD.
VEERENRGY,VEER ENERGY &amp; INFRASTRUCTURE LTD.
SW1,SW Investments Ltd
KKFIN,K K Fincorp Limited
UNIJOLL,UNIJOLLY INVESTMENTS CO.LTD.
WAGEND,Wagend Infra Venture Limited
ELCIDIN,ELCID INVESTMENTS LTD.
HEALINV,HEALTHY INVESTMENTS LTD.
SAHARA,SAHARA ONE MEDIA &amp; ENTERTAINMENT LTD.-$
BANSWRAS,BANSWARA SYNTEX LTD.-$
MODWOOL,MODELLA WOOLLENS LTD.
MODIPON,MODIPON LTD.
SHRIDINE,SHRI DINESH MILLS LTD.-$
SRF,SRF LTD.
SIYSIL,SIYARAM SILK MILLS LTD.-$
SWADPOL,SWADESHI POLYTEX LTD.
BIRLATR,BIRLA TRANSASIA CARPETS LTD.
FOMEHOT,FOMENTO RESORTS &amp; HOTELS LTD.
SHRAJSYNQ,SHREE RAJASTHAN SYNTEX LTD.-$
SHRMFGC,SHREE MANUFACTURING CO.LTD.
HINDSYNTEX,HIND SYNTEX LTD.
ZSATYASL,SATYAM SILK MILLS LTD.
BBL,BHARAT BIJLEE LTD.-$
ELPROINTL,ELPRO INTERNATIONAL LTD.
EMCO,EMCO LTD.-$
GEE,GEE LTD.
HIRECT,HIND RECTIFIERS LTD.
NIPPOBATRY,INDO-NATIONAL LTD.
ZENSARTECH,ZENSAR TECHNOLOGIES LTD.
JYOTI,JYOTI LTD.-$
JSLINDL,JSL INDUSTRIES LTD.
